avg_adherence,adherence_std,adherence_count,adherence_trend,goal_code,target_success
51.36025430015207,13.752255979032286,16.0,11.405647163912139,0.0,1
70.04544645067656,8.418787038282089,19.0,1.8319884249571121,2.0,1
80.44467096686317,10.330153487806081,9.0,13.272412069680328,2.0,1
73.90001254531998,5.205586995855006,6.0,10.784503013072726,1.0,1
57.10512728953694,16.11270669337015,15.0,0.4547051793119785,0.0,0
76.51694696885357,11.827220321820391,6.0,6.1273261159598835,3.0,0
61.49735973784615,7.438786354642313,15.0,-6.137727282478778,3.0,0
66.176840677522,5.799217615187359,6.0,-6.2448121569123956,3.0,0
76.69046829288312,6.672451463556529,10.0,4.3216132306671975,3.0,1
81.94286044717104,11.11797774387341,7.0,8.789135630718949,3.0,1
78.10061161341665,2.714220900721668,16.0,-1.1967121635730136,3.0,1
63.59772398037306,17.47470655617198,12.0,-6.658311156932433,2.0,0
62.641839520227606,10.813765325525027,12.0,7.862223313592781,3.0,0
62.420398844025,7.688241036677164,8.0,10.579758812571539,3.0,0
49.867404575944306,5.402738569991944,17.0,6.971607440537641,3.0,0
61.16395765861545,10.79269845538357,14.0,8.255903939673367,1.0,0
57.40918494293358,8.184730767174642,16.0,-1.817378939983291,1.0,0
60.48956255675642,10.062470593638437,10.0,6.807466589059089,2.0,0
66.42423224784922,7.883508439779231,10.0,1.2028178909360094,1.0,1
46.83680620232956,5.013765861992591,4.0,5.997742267234366,3.0,0
88.78765276457705,8.21868014469287,7.0,9.375155684670865,1.0,1
52.7996471214307,8.304834620497187,7.0,10.403081374573954,2.0,1
71.80376963731645,7.029250221516028,8.0,-12.460578543884546,2.0,0
71.72281938167527,10.109260727617215,15.0,18.017788913209156,1.0,0
70.86841015930106,11.099983419858827,4.0,15.591875752404366,2.0,1
91.41284625951299,4.0561847283857455,5.0,-4.397515327497477,2.0,0
45.97302163909906,13.175754734072022,12.0,-0.2222269709877338,3.0,0
73.01622155920313,14.190632839471906,11.0,21.967308916917865,1.0,1
52.167390079490175,0.0,18.0,4.677114623438358,1.0,0
58.206451215043074,9.296045567918073,11.0,12.659802307876436,2.0,0
51.42953995478702,1.626585276478215,5.0,-2.863079090733309,2.0,0
96.28687861727812,10.65137260736443,14.0,11.827395110230576,0.0,1
52.55813180428205,6.373869677321234,6.0,23.284697324351644,3.0,0
53.553165150607576,14.65786506437122,16.0,5.849509661058631,1.0,0
57.523396873129755,12.230361007410403,7.0,-2.5498348034078004,3.0,0
70.76140668355391,17.895456282052173,19.0,3.5999161357343823,3.0,0
88.8960278673092,11.096912506819281,11.0,-2.1092723083373714,0.0,1
92.57209587193587,10.91617218610953,4.0,-10.244690317205002,3.0,1
95.57865153253275,9.102403933586997,5.0,-1.8318732113598775,0.0,1
90.4861092023141,5.526364905220868,17.0,8.433267946890444,2.0,0
65.3849136236078,11.687872743994667,11.0,16.074818613137168,1.0,1
35.19724638350364,9.75640799034941,14.0,-6.432302702928711,0.0,0
62.654024948787004,14.579512711780065,6.0,-11.26392717739564,1.0,1
75.81622699918822,7.579152833332108,5.0,-1.2767309436196084,1.0,1
89.3983697190839,9.227471603750498,14.0,-4.95942611670703,2.0,1
70.82517373525937,4.578059638833167,12.0,2.9048978162787424,2.0,1
98.0,5.7337832472059,19.0,-0.873833615491761,0.0,1
73.04968005744544,16.02926810444117,16.0,-5.290838377436085,2.0,0
65.39734527128148,4.687927940702185,6.0,-3.2943942736607372,1.0,1
66.49179913195908,1.211358043216844,10.0,-12.670452453909906,3.0,1
50.45143074472577,19.18456764160657,7.0,25.0,1.0,1
73.46488881504816,18.643488222027962,13.0,-7.868570784282374,1.0,1
74.9562571914659,8.119219643849505,18.0,0.6617703548395886,3.0,1
63.73780015985672,11.16084944813128,3.0,-3.55327218819016,2.0,0
70.48686924269546,11.758782041996017,14.0,2.5315534757786735,2.0,0
73.06390818677293,9.513567007932552,17.0,22.93168308930595,3.0,1
55.79108464488372,4.437942640082911,10.0,13.91142953088865,3.0,1
40.086624208412914,14.637192407790904,18.0,6.544203382143629,1.0,0
72.21947526970432,10.262333991781219,16.0,-0.9217118580355499,1.0,1
70.4410001936395,17.357459864965783,12.0,-23.666584409312975,3.0,0
72.7359038349936,8.140427093393551,13.0,-15.567217824785825,2.0,1
43.458217521341794,14.319140068490942,6.0,-1.285252231228939,2.0,0
62.648701242305975,16.500222973494793,14.0,7.82655241987707,0.0,0
75.02538686287322,18.71967263083896,8.0,6.389931587382987,3.0,0
69.06473305374728,6.512880883498616,12.0,11.89583934594853,2.0,1
