avg_user_rating,history_count,has_high_protein,has_veg,is_fried,spice_heavy,text_len,target_adherence
4.0,1.0,0.0,0.0,0.0,0.0,39.0,1
3.7422159713637826,25.0,1.0,1.0,0.0,1.0,60.0,1
3.2852592448168028,13.0,1.0,0.0,0.0,1.0,66.0,0
3.3086718844341627,29.0,1.0,1.0,0.0,1.0,63.0,0
2.408889963833894,8.0,1.0,0.0,0.0,0.0,141.0,1
1.635985972241791,11.0,0.0,0.0,0.0,1.0,27.0,0
3.366068189057985,14.0,0.0,1.0,0.0,0.0,10.0,0
4.662922445696172,15.0,0.0,1.0,1.0,0.0,40.0,0
3.5992607499421783,17.0,1.0,0.0,0.0,1.0,110.0,0
4.213951466519438,26.0,1.0,0.0,0.0,1.0,79.0,1
3.3510832418556755,1.0,0.0,0.0,0.0,0.0,20.0,0
3.438174207295389,39.0,1.0,0.0,0.0,1.0,148.0,0
3.3429416518139683,8.0,0.0,1.0,1.0,1.0,32.0,0
2.7922011562413735,38.0,0.0,1.0,1.0,1.0,27.0,1
3.906072961746331,15.0,0.0,1.0,1.0,1.0,150.0,0
3.726579277330151,9.0,1.0,0.0,1.0,1.0,55.0,0
3.0915577912944388,32.0,1.0,1.0,0.0,0.0,46.0,1
3.3556532942080075,25.0,1.0,0.0,1.0,0.0,85.0,0
3.091957679712492,12.0,1.0,0.0,1.0,0.0,136.0,0
2.7193432040478944,21.0,0.0,1.0,0.0,1.0,55.0,1
4.431486090707823,31.0,1.0,0.0,0.0,0.0,21.0,1
4.0922344049869634,16.0,0.0,1.0,0.0,1.0,158.0,1
2.6206503756202637,10.0,0.0,1.0,0.0,0.0,57.0,1
1.278586491046648,25.0,0.0,1.0,1.0,0.0,91.0,0
2.6930950514915706,1.0,0.0,0.0,0.0,0.0,23.0,0
3.635746335220947,31.0,0.0,1.0,0.0,0.0,13.0,0
2.529945085759714,15.0,1.0,0.0,1.0,1.0,159.0,1
2.857533565059154,2.0,1.0,1.0,1.0,0.0,51.0,0
3.5981898384624746,2.0,1.0,1.0,0.0,1.0,131.0,0
3.4040329892014753,4.0,1.0,0.0,0.0,0.0,21.0,0
2.0363926759775492,26.0,0.0,0.0,1.0,0.0,138.0,0
3.4006154788468463,26.0,1.0,1.0,0.0,0.0,131.0,0
2.2423291385524786,36.0,1.0,0.0,1.0,1.0,88.0,0
4.524255714536321,14.0,0.0,1.0,1.0,1.0,148.0,0
3.1547013168832954,12.0,0.0,0.0,1.0,1.0,93.0,0
2.2447784381292877,9.0,1.0,0.0,0.0,1.0,137.0,0
2.2019855425147163,27.0,0.0,1.0,1.0,1.0,101.0,0
2.4275970349497404,34.0,1.0,1.0,1.0,0.0,17.0,0
3.788495755776033,16.0,1.0,1.0,0.0,1.0,113.0,1
3.3566805085702422,22.0,1.0,1.0,1.0,0.0,100.0,0
2.1032790390466087,27.0,1.0,0.0,1.0,1.0,18.0,0
4.0680141900694515,38.0,0.0,0.0,0.0,1.0,70.0,1
2.8470612446720343,3.0,0.0,1.0,1.0,0.0,69.0,1
3.3757672349301653,31.0,1.0,0.0,0.0,0.0,151.0,1
1.0972476862513698,18.0,1.0,0.0,1.0,0.0,102.0,0
3.3983206147628136,22.0,1.0,0.0,1.0,1.0,27.0,0
2.348177367716537,12.0,1.0,0.0,0.0,1.0,68.0,0
1.8777476845750425,17.0,0.0,0.0,1.0,0.0,24.0,0
3.8327584912456127,3.0,1.0,1.0,0.0,0.0,88.0,1
